Session_Frequency,Total_Duration,Total_Traffic
1,164233719.0,223473111.0
2,276675731.0,1505997167.0
1,187658735.0,690936319.0
1,80397239.0,352702690.0
1,21359697.0,658536457.0
3,70386975.0,1737565846.0
1,23815842.0,853181352.0
3,144774074.0,2043186102.0
4,264317076.0,2088926160.0
1,176313545.0,839680355.0
1,305500529.0,270329964.0
2,78123381.0,318255709.0
2,237364662.0,1422684625.0
1,35581909.0,291004709.0
1,259460542.0,504967943.0
1,98573639.0,303815914.0
2,169301516.0,1132035517.0
1,75030374.0,312344192.0
1,171307286.0,189216613.0
1,38108861.0,260723899.0
2,170008684.0,756846030.0
1,61215403.0,400801226.0
1,58250167.0,637760757.0
1,23210479.0,661774305.0
2,254319945.0,1273499859.0
1,65446513.0,674162584.0
1,165639031.0,292814323.0
1,111259127.0,572663644.0
1,47472564.0,83190181.0
1,28225224.0,665641241.0
1,99714165.0,148093459.0
1,130523461.0,503347831.0
1,12683046.0,66544152.0
2,397889256.0,1439800734.0
1,86486323.0,684377450.0
1,135066601.0,199615689.0
1,99167690.0,380878947.0
1,128012639.0,322797185.0
2,292596183.0,947667251.0
1,85410920.0,302908850.0
1,148898888.0,378989988.0
1,140588660.0,515268402.0
2,62798032.0,460944937.0
1,205298310.0,775219388.0
1,159838180.0,203202202.0
1,85833116.0,777362628.0
2,81994675.0,1774381188.0
3,141275517.0,1432739669.0
1,197939461.0,388110340.0
1,53136434.0,844327131.0
1,95248068.0,512409371.0
1,210479542.0,189637856.0
1,86486349.0,549544496.0
1,99351883.0,792132617.0
1,62729835.0,244159764.0
2,209752053.0,487887892.0
2,101748643.0,1402001132.0
1,102683756.0,539596039.0
1,140012088.0,379181523.0
2,325794304.0,847371705.0
2,620393894.0,539049198.0
1,174659159.0,681995370.0
2,228926011.0,1029291793.0
1,20764661.0,384098833.0
1,179468429.0,742739844.0
1,39443027.0,122104573.0
1,66934637.0,424197423.0
1,8429372.0,494657434.0
2,186199406.0,1402429432.0
1,127766951.0,517203228.0
1,146754371.0,781831444.0
4,414906632.0,1937714650.0
1,72469067.0,790356298.0
1,191170681.0,633009481.0
1,168326763.0,413999952.0
1,86486231.0,816781377.0
1,101739398.0,195907652.0
3,369783932.0,885282187.0
2,137034060.0,710018289.0
1,100958213.0,553308450.0
1,90182455.0,94942554.0
1,115092239.0,677487090.0
1,373230942.0,126495007.0
1,107945512.0,183613054.0
1,80472885.0,448139447.0
1,19932110.0,376853626.0
1,23417365.0,692601647.0
2,247390504.0,889521576.0
1,184908469.0,867555902.0
1,16153732.0,312002528.0
1,86486412.0,815581373.0
1,160437698.0,916331296.0
2,122886564.0,1063869002.0
1,125106302.0,690246309.0
2,203157636.0,981478642.0
1,23074809.0,143723332.0
1,86462478.0,577273628.0
1,108894772.0,393708678.0
1,105035239.0,336013897.0
1,86441135.0,634033380.0
2,174519355.0,1202959160.0
1,64980403.0,777082556.0
1,51425230.0,603521757.0
2,192279696.0,1345489442.0
1,60760792.0,450015688.0
1,34876723.0,318153952.0
1,27330267.0,852740498.0
1,123720720.0,205925520.0
2,86700547.0,1417655965.0
1,272020457.0,671384827.0
1,176145650.0,168819097.0
2,69941092.0,937975767.0
1,245242178.0,133764933.0
1,86486301.0,794710195.0
1,162663256.0,619854706.0
1,118162957.0,785778788.0
1,114850214.0,652511212.0
5,674266471.0,2528733140.0
1,146404187.0,209265618.0
1,182330737.0,490814508.0
2,162068240.0,1215877287.0
1,27218131.0,120235970.0
2,34772777.0,935264811.0
1,67583467.0,820110302.0
2,334835505.0,1033180705.0
1,40927603.0,731951380.0
2,180006515.0,1188139904.0
2,182457397.0,879465364.0
1,86430848.0,265146261.0
1,125213934.0,501284396.0
1,19747392.0,399763568.0
1,154917363.0,569350255.0
1,351437574.0,734343356.0
2,252285589.0,1091965444.0
1,46014806.0,918503893.0
3,646749748.0,1850782395.0
